"vpn","dat_eingabe_1","dat_eingabe_2","dat_eingabe_3","dat_eingabe_4","dat_eingabe_5","dat_eingabe_6","dat_eingabe_7","dat_eingabe_8","dat_eingabe_9","dat_eingabe_10"
"VP_002","Philosophie","Bezeichnung","Käse","Schmetterling","Autobahn","Chemie","Weltall","Haare","Trauer","Vorbild"
"VP_001","Marzipan","Weltraumrakete","Kleinhirnrinde","Hasenzähne","Tinnitus","Flussbeet","Nasenspray","Pinnwand","Sonnenstrahl","Hackbrett"
"VP_003","Stuhl","Banane","Löffel","Mathematik","Rucksack","Eiffelturm","Baum","Schnee","Hose","Kaninchen"
"VP_004","Baum","Hund","Fingernagel","Wüste","Safran","Gitarre","Fussball","Deutsch","Bildschirm","Nudeln"
"VP_005","Computer","Stift","Fuss","Farbe","Geschichte","Lehrer","Brille","Flugzeug","Verständnis","Haarausfall"
"VP_006","Garten","Spiegel","Spaziergang","Hände","Metall","Arbeit","Fussball","Buchstabe","Wasser","Spaghetti"
"VP_007","Hund","Löffel","Zug","Teppich","Jacke","Nagel","Mango","Ladekabel","Abgrenzung","Politik"
"VP_008","Schwein","Wolke","Medikament","Flagge","Pilz","Bett","Zeit","Kühlschrank","Film","Nebel"
"VP_011","Haus","Fingernagel","Buch","Markt","Militär","Sonnenbrille","Auto","Mathematik","Familie","Seil"
"VP_009","Gebiss","Hantel","Weltraum","Horn","Motiv","Parti","Aura","Rennstrecke","Holzsplitter","Eselsbrücke"
"VP_012","Sarkasmus","Sternensystem","Wand","Lokomotive","Darmflora","Sauerstoff","Kindheit","Fernweh","Empirismus","Apokalypse"
"VP_013","Haus","Baum","Blatt","Luftlinie","Trampolin","Verkehrszentrum","Krankenhaus","Konsum","Notlage","Verwirrung"
"VP_014","Tag","Nacht","Hitze","Kälte","Dürre","Überschwemmung","Leben","Tod","Lärm","Stille"
"VP_017","Musik","Mixer","Baum","Luftpartikel","Schlaf","Leitungsperson","Grab","Erschütterung","Zug","Megadolon"
"VP_016","Baum","Mähdrescher","Saturn","Gefühl","Chemie","Weiterentwicklung","Literaturverzeichnis","Zeitaufwand","Verantwortung","Patient"
"VP_019","Konzept","Scham","Kran","Brot","Geld","Blut","Handlung","Blume","Rauchwolke","Rassist"
"VP_018","Politik","Wasser","Fantasie","Unterführung","Familie","Eigentor","Herzlichkeit","Ablaufdatum","Versehen","Verschmutzung"
"VP_020","Baum","System","Handel","Poulet","Abzeichen","Geschwister","Christentum","Medizin","Bleistift","Offenheit"
"VP_022","See","Tisch","Computer","Armreifen","Basilikum","Fahrzeug","Pediküre","Karte","Prüfung","Kabel"
"VP_021","baum","spital","baumhaus","spiegel","fingerring","haarsträhne","tattoo","schrei","tunnel","rasen"
"VP_024","Hase","Bagger","Regenbogen","Savanne","Kugelschreiber","Schlange","Uhr","Gummimatte","Rasierklinge","Fenster"
"VP_023","Auto","Jeans","Haare","Hilfsbereitschaft","Köchin","Erdbeere","Löwe","Meer","Kunst","Gebäude"
"VP_025","Mond","Katze","Bus","Schlüssel","Berg","Tanzunterricht","Stift","Rose","Krieg","Algen"
"VP_027","Liebe","Hass","Güte","Geiz","Empathie","Egoismus","Sozialismus","Diktator","Tierliebe","Verständnis"
"VP_026","Kerze","Hund","Bahnhof","Studium","Brot","Menschen","Krankheit","Telefon","Steckdose","Kaffeefilter"
"VP_028","Computer","Buch","Zug","Schmuck","Wandfarbe","Tiger","Rasierapparat","Staub","Wasser","Armbanduhr"
"VP_029","Baum","Taste","Strom","Detektiv","Snowboard","Schaf","Magnet","Nebel","Welle","Jacke"
"VP_030","Baum","Flasche","Fantasie","Mensch","Ameise","Weltall","Beton","Welle","Ausdauerlauf","Server"
"VP_031","Faszination","Ebene","Würfel","Panda","Öl","Stuhl","Tanz","Sauce","Wunder","Klima"
"VP_032","Löffel","Meer","Auto","Computer","Hund","Hantel","Blumentopf","Kreditkarte","Shampoo","Uhr"
"VP_033","Tisch","Baum","Sonne","Flasche","Brot","Seil","Buch","Schuhe","Bett","Jacke"
"VP_034","Sehnsucht","Fingerhut","Ananas","Tausendfüssler","Abfluss","Büroklammer","Stammzellenspende","Hufeisen","Mikrochip","Haarnadel"
"VP_035","Haus","Atom","Restaurant","Kaffee","Reise","Tastatur","Herz","Verabredung","Stille","Luft"
"VP_036","Schaukelstuhl","Beton","Nihilismus","Cello","Hochzeit","Verwendung","Komposition","Streit","Frage","Punkt"
"VP_037","Regen","Gedicht","Haare","Milch","Teer","Waage","Zug","Verabredung","Extraversion","Lohn"
"VP_038","Papagei","Kugelschreiber","Bett","Empathie","Volleyball","Bier","Nase","Krieg","Lungenkrebs","Tagesschau"
"VP_039","Insel","Buch","Coffeeshop","Diskussion","Treppe","Nase","Seele","Zukunft","Schwester","Buchstabe"
"VP_040","Blume","Ball","Kind","Flugzeug","Ultraschall","Keller","Kleider","Vorlesung","Ferien","Rollstuhl"
"VP_042","Pultnachbar","Giraffe","Dunkelblau","Ingwer","Satelit","Schallwelle","Diabetes","Voraussetzung","Veganerin","Weisheit"
"VP_041","Schriftsatz","Sänger*in","Konzept","Instruktion","Sammelbegriff","Wendehals","Glocke","Syntax","Selektion","Summenzeichen"
"VP_045","Raum","Fisch","Stern","Mensch","Autoreifen","Politik","Vakum","Spiel","Verben","Seifenblase"
"VP_043","Wasserhahn","Rollschuh","Zecke","Alien","Karikatur","Wolkenkratzer","Demokratie","Silbe","Stein","Trennung"
"VP_044","Buch","Tier","Handlung","Freund","Liebe","Uhr","Bett","Ball","Stift","Bibliothek"
"VP_046","Computer","Tasche","Apfel","Schwimmbad","Arztpraxis","Geburtstagskuchen","Bettbezug","Blumenwiese","Rennvelo","Biene"
"VP_048","Buch","Himmel","Spannteppich","Rollschuh","Demokratie","Windpocken","Surfbrett","Nagetier","Computer","Nahrungsergänzungsmittel"
"VP_049","Mensch","Werkzeuge","Elephant","Fliege","Ananas","Emotionen","Rationalität","Berge","Körper","Geist"
"VP_047","Haus","Garten","Troll","Riese","Blume","Dreck","Duft","Gestank","Bild","Beton"
"VP_050","Haus","Wurm","Afrika","Nordpol","Universität","Frosch","Pullover","Holzfigur","Fingernagel","Pfannendeckel"
"VP_051","Bernstein","Schlamassel","Gewürzgurke","Eigenheim","Philistertum","Grobplanung","Helm","Ringer","Falz","Süden"
"VP_052","Baumhaus","Tiger","Lampe","Tempel","Sport","Scheibe","Akku","Stange","Gurke","Lava"
"VP_054","Kind","Grosseltern","Maus","Maulwurf","Schule","Uhr","Taschengeld","Münzen","Zeit","Uhr"
"VP_053","Kunststoff","Baum","Hose","Stimmbänder","Klettern","Festzelt","Frisur","Zopf","Risiko","Rundlauf"
"VP_055","Computer","Stuhl","Blatt","Auto","Staub","Regen","Stern","Pizza","Schrank","Bewegung"
"VP_058","Baum","Zebra","Klopapier","Mathematik","Reise","Buch","Kaugummi","Nebel","Frau","Hass"
"VP_057","Blumenkohl","Adverb","Mumie","Blau","Rennen","Anarchie","Tod","Wollpulli","Magma","Mutterschaftsurlaub"
"VP_056","Pferd","Schauspielerin","Palme","Elektrizität","Erdbeeren","Völkermord","Pipette","Himmel","Schlüsselbein","Nihilismus"
"VP_062","Schiff","Tanne","Rose","Ärztin","Fernseher","Besen","Feuer","Psychose","Buch","Schule"
"VP_061","Sonne","Brot","Computer","Handstand","Velo","Heizungsintallateur*in","Obligationenrecht","Fingerhut","Leguan","Pfütze"
"VP_059","Baum","Beton","Flöte","Schiff","Tee","Brot","Hilfe","Widerstand","Spiel","Regel"
"VP_065","Einhorn","Stift","Brot","Kopfhörer","Krieg","Museum","Mitgefühl","Rasenmäher","Vorhang","Schnürsenkel"
"VP_060","Diebstahl","Wandfarbe","Fernseher","Richtung","Haargummi","Schlafanzug","Philosophie","Gartenschere","Glühbirne","Elefant"
"VP_063","Berg","Fotosynthese","Beziehung","Strohhalm","Kreuzworträtsel","Magie","Legobaustein","Wurm","Pythagoras","Stricknadel"
"VP_064","Hund","Dialektik","Malus","Blau","Gesteinsschicht","Folter","Zeit","Bahnhofsmission","Suchmaschine","Tatendrang"
"VP_066","Philosophie","Zebra","Schiffsfrack","Schokoladenfarbik","Präzisionswaage","Allgemeinheit","Hummus","Frottewäsche","Burg","Holztisch"
"VP_069","Mondfinsternis","Tanzstudio","Staubsauger","Halstuch","Mauer","Brillengläser","Geige","Notizblock","Uhr","Kristall"
"VP_068","Fussball","Buch","Lippenstift","Socke","Briefkasten","Feuermelder","Holz","Decke","Reis","Blume"
"VP_070","Apfel","Haus","Wüstenfuchs","Mars","Kaffee","Fingerabdruck","Fussball","Wimperntusche","Drucker","Lawine"
